id	title	termName	termYear	subjectDescription	subjectAcademicOrgDescription	subject	classAcademicOrgDescription	component	externalCourseId	courseDescriptionLong	year
102746	Cold Storage - An Interactive Documentary Project	Spring	2014	"Advanced Studies	 Methods	 and Propedeutics"	Architecture	ADV	Harvard Graduate School of Design	Workshop	200031	"<p>Libraries are not mere repositories	 but sites breeding strange hybrids of knowledge	 people	 and material things. Building on the strength of two years of work in the Library Test Kitchen	 this studio will research and produce an experimental documentary exploring library hybrids	 with special focus on the Harvard Depository	 where nine million of the documents that make up the university’s collections are stored. Students will explore the cultural and technical dimensions of libraries	 depositories	 and storage facilities; produce ethnography	 oral history	 and other writing; practice video production and editing; and engage in website design and development. Students with interest in the history of libraries or with media production or technical skills are particularly welcome.</p>"	2014
172935	Perspectives in the African Novel	Spring	2005	African and African American Studies	African and African American Studies	AFRAMER	African and African American Studies	Lecture	118728	"<p>We examine a representative selection of African novels with a view to grasping the development of the genre from the double heritage of the oral tradition and the literate conventions of the West. The African novel will be studied in relation to the dominant themes_colonialism	 social and cultural change	 the post-colonial dilemma_and the textual strategies adopted by the novelists in their rendering of the African experience in modern times.</p>"	2005
113243	Perspectives on the African Novel	Spring	2008	African and African American Studies	African and African American Studies	AFRAMER	African and African American Studies	Lecture	118728	"<p>We examine a representative selection of African novels with a view to grasping the development of the genre from the double heritage of the oral tradition and the literate conventions of the West. The African novel will be studied in relation to the dominant themes-colonialism	 social and cultural change	 the post-colonial dilemma-and the textual strategies adopted by the novelists in their rendering of the African experience in modern times.</p>"	2008
114929	The African Novel	Spring	2004	African and African American Studies	African and African American Studies	AFRAMER	African and African American Studies	Lecture	118728	"<p>We examine a representative selection of African novels with a view to grasping the development of the genre from the double heritage of the oral tradition and the literate conventions of the West. The African novel will be studied in relation to the dominant themes_colonialism	 social and cultural change	 the post-colonial dilemma_and the textual strategies adopted by the novelists in their rendering of the African experience in modern times.</p>"	2004
153168	Perspectives in the African Novel	Spring	2006	African and African American Studies	African and African American Studies	AFRAMER	African and African American Studies	Lecture	118728	"<p>We examine a representative selection of African novels with a view to grasping the development of the genre from the double heritage of the oral tradition and the literate conventions of the West. The African novel will be studied in relation to the dominant themes_colonialism	 social and cultural change	 the post-colonial dilemma_and the textual strategies adopted by the novelists in their rendering of the African experience in modern times.</p>"	2006
219180	Perspectives on the African Novel	Fall	2009	African and African American Studies	African and African American Studies	AFRAMER	African and African American Studies	Lecture	118728	"<p>We examine a representative selection of African novels with a view to grasping the development of the genre from the double heritage of the oral tradition and the literate conventions of the West. The African novel will be studied in relation to the dominant themes-colonialism	 social and cultural change	 the post-colonial dilemma-and the textual strategies adopted by the novelists in their rendering of the African experience in modern times. This course	 when taken for a letter grade	 meets the Core requirement for Literature and Arts A.</p>"	2009.5
352906	Perspectives on the African Novel	Fall	2008	African and African American Studies	African and African American Studies	AFRAMER	African and African American Studies	Lecture	118728	"<p>We examine a representative selection of African novels with a view to grasping the development of the genre from the double heritage of the oral tradition and the literate conventions of the West. The African novel will be studied in relation to the dominant themes-colonialism	 social and cultural change	 the post-colonial dilemma-and the textual strategies adopted by the novelists in their rendering of the African experience in modern times. This course	 when taken for a letter grade	 meets the Core requirement for Literature and Arts A.</p>"	2008.5
268375	Perspectives on the African Novel	Fall	2010	African and African American Studies	African and African American Studies	AFRAMER	African and African American Studies	Lecture	118728	"<p>We examine a representative selection of African novels with a view to grasping the development of the genre from the double heritage of the oral tradition and the literate conventions of the West. The African novel will be studied in relation to the dominant themes-colonialism	 social and cultural change	 the post-colonial dilemma-and the textual strategies adopted by the novelists in their rendering of the African experience in modern times. This course	 when taken for a letter grade	 meets the Core requirement for Literature and Arts A.</p>"	2010.5
211250	Perspectives in the African Novel	Fall	2006	African and African American Studies	African and African American Studies	AFRAMER	African and African American Studies	Lecture	118728	"<p>We examine a representative selection of African novels with a view to grasping the development of the genre from the double heritage of the oral tradition and the literate conventions of the West. The African novel will be studied in relation to the dominant themes-colonialism	 social and cultural change	 the post-colonial dilemma-and the textual strategies adopted by the novelists in their rendering of the African experience in modern times.</p>"	2006.5
379417	Afro-American Literature to the 1920s	Fall	1994	Afro-American Studies	Afro-American Studies	AFROAM	Afro-American Studies	Lecture with Sections	111780	"<p>A survey of the history of African-American literature from the slavery era to the eve of the Harlem Renaissance with a particular focus on the rapid development of African-American literary culture from a primarily oral tradition. Writers to be considered include Wheatley	 Equiano	 Hammon	 Horton	 Douglass	 Brown	 Wilson	 Jacobs	 Harper	 Chesnutt	 Dunbar	 Washington	 Johnson	 and Du Bois	 among others. Required of concentrators.</p>"	1994.5
