_ - id	_ - year	_ - title	_ - termName	_ - termYear	_ - component	_ - externalCourseId	_ - subjectDescription	_ - classAcademicOrgDescription
345313	2010.5	On The Bri(n)ck: Architecture of the Envelope	Fall	2010	Seminar	200000	Advanced Studies, Methods, and Propedeutics	Architecture
252178	2010.5	Advanced Research Seminar: London Urban Development	Fall	2010	Seminar	200001	Advanced Studies, Methods, and Propedeutics	Urban Planning and Design
52037	2010.5	Advanced Research Seminar: Istanbul Field Study: Finance Center	Fall	2010	Seminar	200002	Advanced Studies, Methods, and Propedeutics	Urban Planning and Design
96403	2011	The Military-Industrial Landscape	Spring	2011	Seminar	200003	Advanced Studies, Methods, and Propedeutics	Landscape Architecture
260205	2011	Lisbon: Research on Innovative Boulevards	Spring	2011	Seminar	200004	Advanced Studies, Methods, and Propedeutics	Urban Planning and Design
162992	2011	Resource Extraction Urbanism: Recasting the South American Productive Landscape	Spring	2011	Seminar	200005	Advanced Studies, Methods, and Propedeutics	Urban Planning and Design
322620	2013.5	Resource Extraction Urbanism II: Recasting the South American Hinterland	Fall	2013	Seminar	200005	Advanced Studies, Methods, and Propedeutics	Urban Planning and Design
206200	2011	Baku: Oil City	Spring	2011	Seminar	200006	Advanced Studies, Methods, and Propedeutics	Harvard Graduate School of Design
130170	2011	PHYTO Remediation and Rebuilding Technologies in the Landscape	Spring	2011	Seminar	200007	Advanced Studies, Methods, and Propedeutics	Landscape Architecture
258650	2012	PHYTO Remediation and Rebuilding Technologies in the Landscape	Spring	2012	Seminar	200007	Advanced Studies, Methods, and Propedeutics	Landscape Architecture
298175	2012	Advanced Research Seminar: School for Year 2030	Spring	2012	Seminar	200008	Advanced Studies, Methods, and Propedeutics	Urban Planning and Design
361752	2011	Advanced Research Seminar: School for Year 2030	Spring	2011	Seminar	200008	Advanced Studies, Methods, and Propedeutics	Urban Planning and Design
359794	2011	RESONANCE II: Portable Concert Hall for Phillip Glass:	Spring	2011	Seminar	200009	Advanced Studies, Methods, and Propedeutics	Architecture
216841	2011.5	Lifecycle Design	Fall	2011	Seminar	200010	Advanced Studies, Methods, and Propedeutics	Architecture
80271	2011.5	Al-Turaif, Saudi Arabia: Cultural Tourism & A Living Community	Fall	2011	Seminar	200011	Advanced Studies, Methods, and Propedeutics	Urban Planning and Design
290515	2012	Bibliotheca II: The Library Test Kitchen	Spring	2012	Seminar	200012	Advanced Studies, Methods, and Propedeutics	Architecture
230083	2012	Cultural Tourism and Creating a living community at Al-Turaif, Saudi Arabia World Heritage Site	Spring	2012	Seminar	200013	Advanced Studies, Methods, and Propedeutics	Urban Planning and Design
273250	2015	Research Seminar on New Towns in China	Spring	2015	Seminar	200013	Advanced Studies, Methods, and Propedeutics	Urban Planning and Design
116910	2012	Airport Landscape: Ecological, Infrastructural, and Urban Implications of the Aerial Age	Spring	2012	Seminar	200014	Advanced Studies, Methods, and Propedeutics	Landscape Architecture
219160	2012	Urban Formation and Spatial Analysis in East Asian Cities	Spring	2012	Seminar	200015	Advanced Studies, Methods, and Propedeutics	Urban Planning and Design
341820	2012	Advanced Research Seminar on Urban Climate	Spring	2012	Seminar	200016	Advanced Studies, Methods, and Propedeutics	Urban Planning and Design
205099	2012	Evolutionary Productions (Tokyo Study Abroad Seminar)	Spring	2012	Seminar	200017	Advanced Studies, Methods, and Propedeutics	Architecture
252231	2012	New Geographies Lab Research Seminar	Spring	2012	Advanced Research Seminar	200018	Advanced Studies, Methods, and Propedeutics	Urban Planning and Design
271662	2013.5	New Geographies Lab Seminar: Territorial Tropes	Fall	2013	Advanced Research Seminar	200018	Advanced Studies, Methods, and Propedeutics	Urban Planning and Design
104482	2012.5	Plugged-in Territories I: Icelandic Energy Landscapes	Fall	2012	Seminar	200019	Advanced Studies, Methods, and Propedeutics	Landscape Architecture
148099	2014.5	The Fourth Typology: Dominant Type and the Idea of the City	Fall	2014	Seminar	200020	Advanced Studies, Methods, and Propedeutics	Urban Planning and Design
239466	2013.5	The Fourth Typology: Dominant Type and the Idea of the City	Fall	2013	Seminar	200020	Advanced Studies, Methods, and Propedeutics	Urban Planning and Design
388898	2012.5	The Fourth Typology: Dominant Type and the Idea of the City	Fall	2012	Seminar	200020	Advanced Studies, Methods, and Propedeutics	Landscape Architecture
209543	2018.5	Thing Power in the Arles Region: Assemblages, Depositions and Displacements	Fall	2018	Seminar	200021	Advanced Studies, Methods, and Propedeutics	Landscape Architecture
310646	2017.5	Aggregate Effects: Re-Tooling the Small City for Environmental and Social Impact at Multiple Scales	Fall	2017	Seminar	200021	Advanced Studies, Methods, and Propedeutics	Landscape Architecture
336472	2012.5	Colonizing Last Frontiers: Energy Landscapes in the Chilean Patagonia	Fall	2012	Seminar	200021	Advanced Studies, Methods, and Propedeutics	Landscape Architecture
1923913	2019.5	Thing Power in the Arles Region: Assemblages, Depositions and Displacements	Fall	2019	Seminar	200021	Advanced Studies, Methods, and Propedeutics	Landscape Architecture
122373	2012.5	Library Test Kitchen	Fall	2012	Lecture	200022	Advanced Studies, Methods, and Propedeutics	Harvard Graduate School of Design
318247	2013.5	Library Test Kitchen III: Library Machines	Fall	2013	Lecture	200022	Advanced Studies, Methods, and Propedeutics	Harvard Graduate School of Design
207035	2013	Urban Theory Lab Research Seminar	Spring	2013	Seminar	200023	Advanced Studies, Methods, and Propedeutics	Urban Planning and Design
307253	2016	Urban Theory Lab Research Practicum: 'Operational Landscapes' of Planetary Urbanization	Spring	2016	Seminar	200023	Advanced Studies, Methods, and Propedeutics	Urban Planning and Design
83007	2012.5	Real Estate and City Making in China	Fall	2012	Seminar	200024	Advanced Studies, Methods, and Propedeutics	Urban Planning and Design
75360	2016.5	Real Estate and City Making in China	Fall	2016	Seminar	200024	Advanced Studies, Methods, and Propedeutics	Urban Planning and Design
162616	2017.5	Real Estate and City Making in China	Fall	2017	Seminar	200024	Advanced Studies, Methods, and Propedeutics	Urban Planning and Design
194367	2018.5	Real Estate and City Making in China	Fall	2018	Seminar	200024	Advanced Studies, Methods, and Propedeutics	Urban Planning and Design
301194	2014.5	Real Estate and City Making in China	Fall	2014	Seminar	200024	Advanced Studies, Methods, and Propedeutics	Urban Planning and Design
321310	2013.5	Real Estate and City Making in China	Fall	2013	Seminar	200024	Advanced Studies, Methods, and Propedeutics	Urban Planning and Design
1143038	2019.5	Real Estate and City Making in China	Fall	2019	Seminar	200024	Advanced Studies, Methods, and Propedeutics	Urban Planning and Design
91581	2013	On Atmospheres and Design	Spring	2013	Seminar	200025	Advanced Studies, Methods, and Propedeutics	Landscape Architecture
